question_en,question_ne,response_en,response_ne,intent
What is a period?,Period bhaneko ke ho?,A period is the monthly shedding of the uterine lining.,Period bhaneko euta month ma few days lai aaune ragat ho.,period_question
Why do periods happen?,Period kina huncha?,Periods happen as part of the menstrual cycle to prepare the body for pregnancy., Pregnancy ko lagi sharir taiyar garna cycle le period dincha.,period_question
How long do periods last?,Period kati din samma huncha?,Periods usually last 3 to 7 days.,Period sajha ma 3 dekhi 7 din samma huncha.,period_question
Is it normal to have pain during periods?,Period ma dukhai hunu normal ho?,"Yes, mild to moderate pain is common during periods.","Ho, halka ya samanya dukhai ta normal nai ho.",period_question
Why is my period late this month?,Yo month mero period kina late bhayo?,"A late period can happen due to several reasons, such as stress, hormonal imbalances, changes in diet or exercise, PCOS, or other health conditions. If your period is consistently late, consider consulting a healthcare professional.","Period dhilo hunu ko karan stress, hormonal imbalance, diet ya exercise ma pariwartan, PCOS, ya anya swasthya samasya huna sakchha. Yadi tapaiko period barambar dhilo huncha bhane, doctor sanga paramarsha garnu upyukta huncha.",period_question
What are the signs that my period is about to start?,Mero period start hunu lagyo bhanera kasari thapaune?,"Signs that your period is about to start include mood swings, cramps, bloating, tender breasts, acne, and food cravings. These are caused by changes in your body's hormone levels.","Tapaiko period suru huna lageko sanket haru mood swing, cramps, bloating, breast tenderness, acne, ra food cravings huna sakchha. Yo tapaiko shareer ma hormonal pariwartan ko karan le hunchha.",period_question
What is PMS?,PMS bhaneko ke ho?,"PMS stands for Premenstrual Syndrome, which causes mood swings and other symptoms.","PMS bhaneko premenstrual syndrome ho, jasle mood swing garaucha.",period_question
Can I exercise during my period?,Period ma exercise garna milcha?,"Yes, light exercise like yoga or walking can help with cramps.","Ho, halka exercise jastai yoga ya walking garda huncha.",period_question
Why is my period late?,Mero period kina dheelo cha?,"Periods can be late due to stress, diet, or hormonal changes.","Tanav, diet, ya hormonal badal le period dheelo huna sakcha.",period_question
What is a menstrual cycle?,Menstrual cycle bhaneko ke ho?,It is the process your body goes through to prepare for pregnancy every month.,Menstrual cycle bhaneko pregnancy ko lagi sharir taiyar garna harek month hune cycle ho.,period_question
Can periods make you tired?,Period le thakai lagaidincha?,"Yes, loss of blood and hormonal changes can make you tired.","Ho, ragat flow bhayepachi ra hormonal changes le garda thakai huna sakcha.",period_question
What is spotting?,Spotting bhaneko ke ho?,Spotting is light bleeding that happens outside of your period.,Spotting bhaneko period bahek kehi din halka ragat aune ho.,period_question
Is it safe to use a menstrual cup?,Menstrual cup use garna safe cha?,"Yes, menstrual cups are safe and eco-friendly.","Ho, menstrual cup safe ra environment friendly ho.",period_question
Is it okay to use tampons?,Tampons use garna thik ho?,"Yes, but use it properly.","Ho, tara ramro sanga use garnuhos.",period_question
How much blood do we lose during periods?,Period ma kati ragat flow huncha?,"On average, about 30-40 ml of blood is lost during a period.",Sajha ma 30-40 ml ragat flow huncha.,period_question
Can I swim during my period?,Period ma swimming garna milcha?,"Yes, you can swim using tampons or menstrual cups.","Ho, tampon ya menstrual cup use garera swimming garna milcha.",period_question
Are irregular periods normal?,Irregular period normal ho?,"Occasional irregular periods are normal, but persistent ones need a doctor's advice.","Kahile kahi irregular period normal ho, tara barambar bhaye doctor ko salaah linu.",period_question
What is menopause?,Menopause bhaneko ke ho?,"Menopause is when periods stop permanently, usually after age 45-50.","Menopause bhaneko period permanently rokinu ho, jastai 45-50 barsa pachhi.",period_question
What are sanitary pads?,Sanitary pad bhaneko ke ho?,They are absorbent materials used to collect menstrual blood.,Sanitary pad bhaneko ragat soak garna use hune saman ho.,period_question
Why do periods smell sometimes?,Period ko smell kina aauchha?,It could be due to bacteria or menstrual products not being changed on time.,Bacteria ya timely pad change nagarda smell auna sakcha.,period_question
What are tampons?,Tampon bhaneko ke ho?,Tampons are absorbent materials inserted into the vagina to collect menstrual blood.,Tampon bhaneko vagina vitra ragat soak garna halne saman ho.,period_question
How to track my periods?,Mero period kasari track garne?,You can use a period tracker app or a calendar to note the start and end dates.,Period tracker app ya calendar ma suru ra antim din lekhnus ani track garnus.,period_question
Can sexual activity affect my period?,Sexual activity le period ma asar parcha?,"Yes, sexual activity can sometimes impact hormonal changes and affect your period.","Ho, sexual activity le hormonal changes garayera period ma asar garna sakcha.",period_question
Can stress affect my period?,Tanav le period ma asar parcha?,"Yes, stress can delay or change your period.","Ho, tanav le period dheelo ya change garna sakcha.",period_question
What does different blood color during periods mean?,Period ma rakt ko rang alag bhayeko bhane ke ho?,"Different blood color can indicate hormonal changes, diet, or health issues, such as lighter or darker bleeding.","Period ko rakt ko rang ko badal ko artha hormonal change, diet, ya health samasya huna sakcha.",period_question
What causes period pain?,Period pain kina huncha?,Period pain is caused by uterine contractions.,Uterine contractions le period ma dukhai huncha.,period_question
Is irregular period normal?,Irregular period normal ho?,"Yes, but consult a doctor if it's frequent.","Ho, tara dherai samasya bhaye doctor sanga salah linuhos.",period_question
What is a heavy period?,Heavy period bhaneko ke ho?,Heavy periods involve excessive bleeding.,Heavy period bhaneko dherai ragat bagne ho.,period_question
How to know if my period is late?,Late period kasari thaha pau?,"If it's more than 5 days late, check.",5 din banda dherai late bhaye check garnuhos.,period_question
What are periods?,Periods ke ho?,Periods are part of the menstrual cycle where the uterus sheds its lining.,Periods bhaneko uterus ko lining shed hune process ho.,period_question
Why do periods happen?,Periods kina hunchha?,Periods happen due to hormonal changes in the body.,Hormonal changes le garda periods hunchha.,period_question
Is it normal to have irregular periods?,Aniyamit periods normal ho?,"Yes, occasional irregular periods are normal, but frequent irregularities should be checked by a doctor.","Ho, kahilekahi aniyamit periods normal ho, tara barambar hune ho bhane doctor lai dekhaunu parcha",period_question
What should I do if my period is late?,Mero period late bhaye ke garne?,"If your period is late, consider stress, hormonal changes, or consult a doctor.","Period late bhaye stress ra hormonal change le garda bhako huna sakcha, wa doctor sanga paramarsha garnu parcha.",period_question
Can stress delay periods?,Stress le period delay garna sakchha?,"Yes, stress can delay periods by affecting hormonal balance.","Ho, stress le hormonal balance bigarera period delay huna sakchha.",period_question
What should I do if I miss a period?,Period miss bhaye ke garne?,"If you miss a period and are not pregnant, consult a doctor for advice.","Period miss bhaye pregnancy check garnu, wa doctor sanga paramarsha garnu.",period_question
Why do periods cause mood swings?,Periods le mood swing kina garcha?,Hormonal changes during periods affect mood.,Hormonal changes le mood swing garna sakcha.,period_question
Why do I feel tired during my period?,Periods ma thakai kina lagchha?,Feeling tired is common due to hormonal changes and blood loss.,Hormonal changes ra ragat ko karan le thakai lagchha.,period_question
How often should I change a pad or tampon?,Pad wa tampon kati bela change garne?,You should change your pad or tampon every 4 to 6 hours.,Pad wa tampon 4 dekhi 6 ghantama change garnu parcha.,period_question
What is the normal cycle length?,Normal cycle length kati din ko ho?,A normal cycle is 21 to 35 days.,Normal cycle 21 dekhi 35 din samma huncha.,period_question
What are the best products for managing periods?,Periods manage garna best product ke ho?,"Pads, tampons, menstrual cups, and period underwear are good options.","Pads, tampons, menstrual cups, ra period underwear ramro options ho periods manage garna.",period_question
Can periods stop suddenly?,Periods achanak banda huna sakchha?,"Yes, periods can stop due to pregnancy, stress, or health conditions.","Ho, pregnancy, stress, wa aru health condition le garda period achanak banda huna sakchha.",period_question
How can I reduce period cramps?,Period ko cramps kasari kam garne?,Use a heating pad and stay hydrated.,Heating pad use garnuhos ani pani dherai piunuhos.,cramps_question
What causes period cramps?,Period ko dukhai kina hunchha?,Period cramps are caused by the uterus contracting to shed its lining.,Uterus ko lining shed garna uterus le contract garcha jasle garda period ko dukhai hunchha.,cramps_question
Are there any home remedies for cramps?,Cramps ka lagi gharelu upaya ke ho?,Try ginger tea or a hot compress.,Ginger tea ya hot compress try garnuhos.,cramps_question
